programa,tipo,volumen
MAESTRIA EN PROMOCION Y PROTECCION DE LOS DERECHOS HUMANOS,ADMITIDOS,89
ESPECIALIZACION EN ALTA GERENCIA,GRADUADOS,87
LICENCIATURA EN ETNOEDUCACION,ADMITIDOS,86
LICENCIATURA EN MATEMATICAS,ADMITIDOS,83
ESPECIALIZACION EN FORMULACION Y GESTION INTEGRAL DE PROYECTOS,GRADUADOS,80
LICENCIATURA EN TECNOLOGIA,ADMITIDOS,79
ESPECIALIZACION EN GESTION PARA EL DESARROLLO TERRITORIAL,GRADUADOS,76
MAESTRIA EN ESCRITURAS AUDIOVISUALES,GRADUADOS,69
ESPECIALIZACION EN FORMULACION Y GERENCIA INTEGRAL DE PROYECTOS,ADMITIDOS,68
MAESTRIA EN ENSEÑANZA DEL LENGUAJE Y LA LENGUA CASTELLANA,ADMITIDOS,68
GESTION CULTURAL Y DE INDUSTRIAS CREATIVAS,ADMITIDOS,68
MAESTRIA EN INGENIERIA,ADMITIDOS,66
MAESTRIA EN ENSEÑANZA DE LAS MATEMATICAS,ADMITIDOS,66
ADMINISTRACION PUBLICA,GRADUADOS,65
ESPECIALIZACION EN GESTION ESTRATEGICA DEL TALENTO HUMANO,GRADUADOS,64
MAESTRIA EN EDUCACION SUE CARIBE,GRADUADOS,63
ESPECIALIZACION EN GESTION PARA EL DESARROLLO TERRITORIAL,ADMITIDOS,62
DOCTORADO EN CIENCIAS DE LA EDUCACION,ADMITIDOS,61
LICENCIATURA EN INFORMATICA,ADMITIDOS,60
TECNOLOGIA EN GESTION PUBLICA TERRITORIAL,ADMITIDOS,59
MAESTRIA EN ESCRITURAS AUDIOVISUALES,ADMITIDOS,56
ESPECIALIZACION EN GESTION Y LEGISLACION AMBIENTAL,GRADUADOS,56
LICENCIATURA EN EDUCACION PREESCOLAR,GRADUADOS,55
MAESTRIA EN PSICOLOGIA CLINICA JURIDICA Y FORENSE,ADMITIDOS,55
MAESTRIA EN EPIDEMIOLOGIA,ADMITIDOS,53
ESPECIALIZACION EN DESARROLLO DE SOFTWARE,ADMITIDOS,50
LICENCIATURA EN QUIMICA,ADMITIDOS,50
MAESTRIA EN CIENCIAS AGRARIAS,ADMITIDOS,49
